Year	Abun_micro	subplot	Cover_total	Cover_phli	Abun_seed_total	pp_mean	Trat	Cover_ex	Cover_nat	Abun_seed_ex	Abun_seed_nat	q0_total_p	q1_total_p	q2_total_p	q0_ex_p	q1_ex_p	q2_ex_p	q0_nat_p	q1_nat_p	q2_nat_p	q2_total_s	q1_total_s	q0_total_s	q0_nat_s	q1_nat_s	q2_nat_s	q0_ex_s	q1_ex_s	q2_ex_s	q01_total_s	q01_nat_s	q11_nat_s	q21_nat_s	q01_ex_s	q11_ex_s	q21_ex_s
2009	281	3	837	656	27	91.2	H	0.312744332	6.763096169	3	24	12.05114402	2.595890018	1.602817417	1.998384976	1.744108558	1.586669453	10.12446161	2.460855897	1.570778455	4.703226	5.922623	8	6	3.997311	2.983471	2	1.937819	1.882353	8	6	2.392237	1.655327	2	1.960132	1.923077
2009	223	6	1253	134	79	91.2	H	8.560118753	46.80851064	13	66	21.10015668	10.06589824	6.788572805	3.937082349	3.127466815	2.622272564	17.50750649	7.428502211	5.129528219	5.153592	7.291326	13	9	4.536449	3.349235	4	3.453875	3.24	14	10	3.792021	2.6626	4	3.444177	3.130435
2009	0	7	863	634	39	91.2	WH	0.579322638	16.04278075	0	23	1.999791747	1.993517156	1.989537346	0	0	0	1.999791747	1.993517156	1.989537346	2.740933	3.992318	7	7	3.992318	2.740933	0	1	0	9	8	4.171969	2.835687	1	1	1
2009	293	11	1024	551	45	91.2	H	1.241208109	18.32850641	3	42	22.83661352	6.970119766	3.23109924	1.972510005	1.578654414	1.388144508	20.84079713	6.358234433	3.049846202	3.336079	5.183509	9	7	3.953514	2.693603	2	1.960132	1.923077	11	9	3.979066	2.68447	2	1.356131	1.19802
2009	176	15	305	194	13	91.2	H	0	4.577319588	0	13	11.4966811	3.934350427	2.318370709	0	0	0	11.4966811	3.934350427	2.318370709	1.640777	2.211631	4	4	2.211631	1.640777	0	1	0	5	5	4.487445	4.045872	0	1	0
2009	4	16	1054	562	31	91.2	WH	1.769199839	18.01367109	2	29	6.079682805	3.234836348	2.483207908	0.820301082	0.820301082	0.820301082	4.943792586	3.004106431	2.387310193	3.130293	4.581489	8	6	3.331119	2.438127	2	2	2	8	6	3.666288	2.668616	2	1.569193	1.384615
2009	4	19	605	232	23	91.2	WH	0	17.84486053	0	34	1.975147758	1.729779226	1.565282066	0	0	0	1.975147758	1.729779226	1.565282066	3.247191	4.692811	8	6	3.694085	2.737892	2	1.889882	1.8	11	9	5.998613	4.792198	2	1.952924	1.909747
2009	23	20	889	422	34	91.2	WH	0	9.182036889	0	39	0.999895873	0.996758578	0.994768673	0	0	0	0.999895873	0.996758578	0.994768673	5.374558	6.359948	8	8	6.359948	5.374558	0	1	0	11	9	5.878567	4.796384	2	1.506993	1.324324
2010	856	3	1191	856	48	74.4	H	0.239712345	13.14422693	2	46	12.85192129	3.107523855	1.872329109	1.999090697	1.87835969	1.783278672	10.9316071	3.002229559	1.850657047	2.038938	3.272715	8	6	2.392237	1.655327	2	1.960132	1.923077	9	8	3.113272	2	1	1	1
2010	500	6	2150	444	208	74.4	H	2.776749352	60.38504258	11	197	23.30517775	7.742736067	4.842380466	3.931932475	3.249289279	2.822578757	19.28865109	6.764437298	4.486027411	2.989084	4.701672	14	10	3.792021	2.6626	4	3.444177	3.130435	11	8	3.999735	3.005442	3	2.316681	1.965066
2010	0	7	1185	776	78	74.4	WH	0.336275746	15.84699454	0	49	0	0	0	0	0	0	0	0	0	3.066411	4.667467	9	8	4.171969	2.835687	1	1	1	6	6	2.842759	2.074074	0	1	0
2010	776	11	1560	1010	158	74.4	H	2.196078431	19.37254902	20	138	18.34218932	4.57384557	2.306272363	4.960705536	3.618266905	3.183488396	14.26548977	3.932450117	2.143673911	3.422539	5.128173	11	9	3.979066	2.68447	2	1.356131	1.19802	14	10	4.234048	2.761001	4	3.316299	2.88
2010	648	15	641	234	21	74.4	H	0	17.29706757	0	21	12.31103965	6.058113789	4.36191782	0	0	0	12.31103965	6.058113789	4.36191782	4.045872	4.487445	5	5	4.487445	4.045872	0	1	0	10	8	2.71378	1.788646	2	1.889882	1.8
2010	42	16	1245	788	43	74.4	WH	1.433838591	17.28799672	6	37	7.222763807	3.607221598	2.854216075	0.999895877	0.996758888	0.994769177	6.430114456	3.512678172	2.815846338	3.430427	4.878736	8	6	3.666288	2.668616	2	1.569193	1.384615	15	11	5.92128	4.388601	4	3.497294	3.26087
2010	42	19	986	601	49	74.4	WH	0.164271047	23.1211499	14	170	6.839169054	3.357575631	2.692859412	0.997839194	0.96204903	0.935605774	5.693116767	3.193557292	2.625891275	5.954274	7.599051	11	9	5.998613	4.792198	2	1.952924	1.909747	13	8	4.322305	3.056038	5	3.276269	2.647383
2010	0	20	1106	539	184	74.4	WH	0	16.86597938	6	72	0	0	0	0	0	0	0	0	0	5.591912	7.036413	11	9	5.878567	4.796384	2	1.506993	1.324324	10	8	5.592866	4.675573	2	1.937819	1.882353
2011	1272	3	1361	773	86	160	H	1.063829787	23.95744681	2	84	19.13161757	5.134501343	2.798332143	3.984988213	3.37747256	3.056866998	15.35362928	4.698480893	2.692816603	2.093998	3.386226	9	8	3.113272	2	1	1	1	9	9	4.585293	2.836423	0	1	0
2011	934	6	2546	249	218	160	H	5.043227666	77.70172911	30	188	28.41478022	9.185863588	5.604545074	7.790747247	5.409561751	4.476575864	20.48861967	7.260553621	4.867167854	3.889671	5.538299	11	8	3.999735	3.005442	3	2.316681	1.965066	15	10	2.973204	2.012641	5	3.800937	3.155844
2011	0	7	1580	1120	78	160	WH	0.724637681	41.46537842	0	56	4.213780613	1.825909849	1.406540267	0	0	0	4.213780613	1.825909849	1.406540267	2.074074	2.842759	6	6	2.842759	2.074074	0	1	0	7	7	4.956208	4.063736	0	1	0
